Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
129563,Reliance Fixed Horizon Fund XXVI- Series 22- Direct Plan- Growth Option,0,8.52,-100.0,-100.0,-100.0,-100,8.52,0.0,Low
129686,Reliance Fixed Horizon Fund- XXVI- Series 24- Direct Plan- Growth Option,0,8.51,-100.0,-100.0,-100.0,-100,8.51,0.0,Low
129510,Reliance Fixed Horizon Fund XXVI- Series 20- Direct Plan- Growth Option,0,8.53,-100.0,-100.0,-100.0,-100,8.53,0.0,Low
129837,Reliance Fixed Horizon Fund XXVI- Series 26- Direct Plan- Growth Option,0,9.58,-100.0,-100.0,-100.0,-100,9.58,0.0,Low
132860,Reliance Fixed Horizon Fund XXVII- Series 11- Direct Plan-Growth Option,0,8.45,-100.0,-100.0,-100.0,-100,8.45,0.0,Low
130266,Reliance Fixed Horizon Fund XXVI- Series 32- Direct Plan- Growth Option,0,9.17,-100.0,-100.0,-100.0,-100,9.17,0.0,Low
133200,Reliance Fixed Horizon Fund XXVII- Series 15- Direct Plan- Growth Option,0,8.52,-100.0,-100.0,-100.0,-100,8.52,0.72,Low
130415,Reliance Fixed Horizon Fund XXVI- Series 33- Direct Plan- Growth Option,0,8.38,-100.0,-100.0,-100.0,-100,8.38,0.0,Low
130875,Reliance Fixed Horizon Fund XXVII- Series 3- Direct Plan- Growth Option,0,9.74,-100.0,-100.0,-100.0,-100,9.74,0.0,Low
130633,Reliance Fixed Horizon Fund XXVI-  Series 35- Direct Plan- Growth Option,0,9.51,-100.0,-100.0,-100.0,-100,9.51,0.0,Low
131593,Reliance Fixed Horizon Fund XXVII- Series 9- Direct Plan-Growth option,0,8.74,-100.0,-100.0,-100.0,-100,8.74,0.0,Low
131078,Reliance Fixed Horizon Fund XXVII- Series 4- Direct Plan- Growth Option,0,9.06,-100.0,-100.0,-100.0,-100,9.06,0.0,Low
131216,Reliance Fixed Horizon Fund XXVII- Series 6- Direct Plan- Growth Option,0,8.99,-100.0,-100.0,-100.0,-100,8.99,0.0,Low
131537,Reliance Fixed Horizon Fund XXVII- Series 8- Direct Plan- Growth Option,0,8.8,-100.0,-100.0,-100.0,-100,8.8,0.0,Low
134022,Reliance Fixed Horizon Fund XXVIII- Series 10- Direct Plan- Growth Option,0,8.32,-100.0,-100.0,-100.0,-100,8.32,0.0,Low
134589,Reliance Fixed Horizon Fund XXVIII- Series 18- Direct Plan-Growth Option,0,9.63,-100.0,-100.0,-100.0,-100,9.63,0.0,Low
134637,Reliance Fixed Horizon Fund XXVIII- Series 19- Direct Plan-Growth Option,0,8.38,-100.0,-100.0,-100.0,-100,8.38,0.0,Low
134181,Reliance Fixed Horizon Fund XXVIII- Series 14- Direct Plan-Growth Option,0,9.59,-100.0,-100.0,-100.0,-100,9.59,0.0,Low
